Volume Number, X Angle, Y Angle, Z Angle, X Translation, Y Translation, Z Translation
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1, 2.7754490940860403, 1.819641851468044, -1.1436381785976226, 0.0, 0.0, 0.0
2, 3.9797596014703633, 2.6417456345145793, -1.1929152117877422, 0.0, 0.0, 0.0
3, 5.470460410555566, 0.4157951965218918, -1.2448258685659763, 0.0, 0.0, 0.0
4, 3.804843327374483, 0.4165675534875403, 0.3085247853186115, 0.0, 0.0, 0.0
5, 4.096086538199943, 2.027423331240519, 2.520498188023394, 0.0, 0.0, 0.0
6, 6.554748149515891, 1.2475098481754157, 2.620106983252353, 0.0, 0.0, 0.0
7, 6.252251149329846, 2.1388841996574013, 1.8605390296228945, 0.0, 0.0, 0.0
8, 6.67025430568619, 0.8545853260358709, 1.5383019944241614, 0.0, 0.0, 0.0
9, 5.080086721243806, -0.5363524903283634, 2.549198836122204, 0.0, 0.0, 0.0
10, 4.61101954794494, 0.7722975186638517, 2.8259917862225055, 0.0, 0.0, 0.0
11, 5.646453668374353, 0.45342648945464836, 2.8301167568810395, 0.0, 0.0, 0.0
12, 4.317827949048425, 2.099965481482759, 3.015493061144023, 0.0, 0.0, 0.0
13, 5.117893031814068, 2.0929756211591046, 1.0142039644020913, 0.0, 0.0, 0.0
14, 6.268156971873332, 2.1217036586608917, 2.655731993570346, 0.0, 0.0, 0.0
15, 4.583676224531517, 2.426300706541893, 3.2094487951368436, 0.0, 0.0, 0.0
16, 5.170157749373018, 3.8874622798777034, 2.4337191862749843, 0.0, 0.0, 0.0
17, 6.043216699867619, 4.706867192369249, 2.6063833910269505, 0.0, 0.0, 0.0
18, 4.596602105885298, 4.862276083774255, 1.860592047559589, 0.0, 0.0, 0.0
19, 3.893852643804405, 5.5635017629054495, 2.30924298668633, 0.0, 0.0, 0.0
20, 4.498776876980016, 3.4311451194634177, 2.8161754784051105, 0.0, 0.0, 0.0
21, 5.21815816887603, 4.232287883048768, 3.0871488598305707, 0.0, 0.0, 0.0
22, 5.369863616610288, 4.652297568912156, 5.103436854000183, 0.0, 0.0, 0.0
23, 5.416102862739886, 4.700293603889787, 5.270588384219991, 0.0, 0.0, 0.0
24, 4.965798533202994, 4.087896192189822, 6.262874130855302, 0.0, 0.0, 0.0
25, 6.372411601752686, 3.5922039303013347, 6.317819359806456, 0.0, 0.0, 0.0
26, 7.911773354362982, 3.4805368939940866, 6.796498198490389, 0.0, 0.0, 0.0
27, 8.799448911584848, 4.177019531719687, 7.035120256749007, 0.0, 0.0, 0.0
28, 8.280814947078062, 4.518248550074355, 7.563957287258462, 0.0, 0.0, 0.0
29, 9.539086762402981, 4.426341676493362, 6.4576111371469285, 0.0, 0.0, 0.0
30, 9.623938351123984, 4.867691796535303, 6.2671144613627785, 0.0, 0.0, 0.0
31, 10.294198662216976, 4.805512616687821, 5.756592587601314, 0.0, 0.0, 0.0
32, 11.071628674858356, 4.013505908127779, 5.704429511221149, 0.0, 0.0, 0.0
33, 11.584410270356592, 3.2320739030830192, 4.797102723182256, 0.0, 0.0, 0.0
34, 11.42854919430584, 4.427148411723801, 5.09447136746442, 0.0, 0.0, 0.0
35, 10.852675107314969, 3.532259399394633, 4.509079699302172, 0.0, 0.0, 0.0
36, 11.534719348465488, 3.4953160456521, 4.822023313661558, 0.0, 0.0, 0.0
37, 11.989074838453442, 4.174027709848647, 4.501682757947719, 0.0, 0.0, 0.0
38, 10.796812455270766, 1.8509761901141735, 3.6881165340319715, 0.0, 0.0, 0.0
39, 9.437149437868685, 3.1503368332829345, 3.2754757698860484, 0.0, 0.0, 0.0
40, 9.29831012723133, 3.644732174161718, 3.311224712045517, 0.0, 0.0, 0.0
41, 10.291570997371192, 3.4416322961843973, 3.632380192311551, 0.0, 0.0, 0.0
42, 10.03239519215261, 3.563695601308605, 2.3292260281187116, 0.0, 0.0, 0.0
43, 9.703097640865787, 4.733172026047932, 1.1954988329135676, 0.0, 0.0, 0.0
44, 9.063868667752732, 5.233684996250661, -0.2878982388109923, 0.0, 0.0, 0.0
45, 8.634686031371592, 5.662607208399494, -0.5253584807575972, 0.0, 0.0, 0.0
46, 10.745834248004222, 4.11168372745605, 1.1468189259439554, 0.0, 0.0, 0.0
